journal,quartile
JOURNAL OF APPLIED ECOLOGY,1
JOURNAL OF APPLIED PSYCHOLOGY,1
JOURNAL OF ARCHAEOLOGICAL METHOD AND THEORY,1
JOURNAL OF ARCHAEOLOGICAL RESEARCH,1
JOURNAL OF ARCHAEOLOGICAL SCIENCE,1
JOURNAL OF AUTOIMMUNITY,1
JOURNAL OF BIBLICAL LITERATURE,1
JOURNAL OF BIOMEDICAL SCIENCE,1
Journal of Bioresources and Bioproducts,1
JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,1
JOURNAL OF BONE AND MINERAL RESEARCH,1
JOURNAL OF BRITISH STUDIES,1
JOURNAL OF BUSINESS ETHICS,1
Journal of Business Research,1
JOURNAL OF BUSINESS VENTURING,1
Journal of Cachexia Sarcopenia and Muscle,1
JOURNAL OF CATALYSIS,1
JOURNAL OF CELL BIOLOGY,1
Journal of Chemical Theory and Computation,1
JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,1
Journal of Chinese Political Science,1
Journal of Cleaner Production,1
JOURNAL OF CLINICAL CHILD AND ADOLESCENT PSYCHOLOGY,1
JOURNAL OF CLINICAL INVESTIGATION,1
JOURNAL OF CLINICAL ONCOLOGY,1
JOURNAL OF CLINICAL PERIODONTOLOGY,1
JOURNAL OF COLLOID AND INTERFACE SCIENCE,1
JOURNAL OF COMBINATORIAL THEORY SERIES B,1
JOURNAL OF COMMUNICATION,1
JOURNAL OF COMPUTER ASSISTED LEARNING,1
Journal of Computer-Mediated Communication,1
JOURNAL OF CONFLICT RESOLUTION,1
JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY,1
JOURNAL OF CONTROLLED RELEASE,1
JOURNAL OF CORPORATE FINANCE,1
JOURNAL OF COUNSELING PSYCHOLOGY,1
JOURNAL OF DAIRY SCIENCE,1
JOURNAL OF DEMOCRACY,1
JOURNAL OF DENTAL RESEARCH,1
Journal of Destination Marketing & Management,1
JOURNAL OF DEVELOPMENT ECONOMICS,1
Journal of Differential Equations,1
JOURNAL OF DIFFERENTIAL GEOMETRY,1
Journal of Earth Science,1
JOURNAL OF ECOLOGY,1
JOURNAL OF ECONOMIC HISTORY,1
JOURNAL OF ECONOMIC LITERATURE,1
JOURNAL OF ECONOMIC PERSPECTIVES,1
JOURNAL OF EDUCATION POLICY,1
JOURNAL OF EDUCATIONAL PSYCHOLOGY,1
Journal of Energy Chemistry,1
Journal of English for Academic Purposes,1
JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,1
Journal of European Integration,1
JOURNAL OF EUROPEAN PUBLIC POLICY,1
JOURNAL OF EUROPEAN SOCIAL POLICY,1
JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH,1
JOURNAL OF EXPERIMENTAL MEDICINE,1
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL,1
Journal of Extracellular Vesicles,1
Journal of Family Business Strategy,1
JOURNAL OF FIELD ARCHAEOLOGY,1
JOURNAL OF FINANCE,1
JOURNAL OF FINANCIAL ECONOMICS,1
JOURNAL OF FORESTRY RESEARCH,1
JOURNAL OF FUNCTIONAL ANALYSIS,1
Journal of Future Foods,1
JOURNAL OF GASTROENTEROLOGY,1
Journal of Genetics and Genomics,1
Journal of Geovisualization and Spatial Analysis,1
Journal of Global History,1
JOURNAL OF HAZARDOUS MATERIALS,1
JOURNAL OF HEADACHE AND PAIN,1
JOURNAL OF HEALTH AND SOCIAL BEHAVIOR,1
JOURNAL OF HEART AND LUNG TRANSPLANTATION,1
JOURNAL OF HELLENIC STUDIES,1
Journal of Hematology & Oncology,1
JOURNAL OF HEPATOLOGY,1
Journal of Hospitality and Tourism Management,1
Journal of Hospitality Marketing & Management,1
JOURNAL OF HUMAN EVOLUTION,1
JOURNAL OF HUMAN RESOURCES,1
Journal of Hydrology,1
Journal of Industrial Information Integration,1
Journal of Innovation & Knowledge,1
Journal of Integrative Agriculture,1
Journal of Integrative Plant Biology,1
JOURNAL OF INTERNAL MEDICINE,1
JOURNAL OF INTERNATIONAL BUSINESS STUDIES,1
JOURNAL OF INTERNATIONAL ECONOMICS,1
Journal of International Financial Management & Accounting,1
Journal of International Management,1
JOURNAL OF LABOR ECONOMICS,1
Journal of Legal History,1
Journal of Linguistic Anthropology,1
Journal of Magnesium and Alloys,1
JOURNAL OF MANAGEMENT,1
JOURNAL OF MANAGEMENT IN ENGINEERING,1
JOURNAL OF MANAGEMENT STUDIES,1
Journal of Manufacturing Processes,1
JOURNAL OF MANUFACTURING SYSTEMS,1
Journal of Manufacturing Technology Management,1
JOURNAL OF MARKETING,1
JOURNAL OF MATERIALS PROCESSING TECHNOLOGY,1
Journal of Materials Science & Technology,1
Journal of Mathematical Logic,1
JOURNAL OF MEDICINAL CHEMISTRY,1
JOURNAL OF MEMBRANE SCIENCE,1
JOURNAL OF MICROPALAEONTOLOGY,1
Journal of Mixed Methods Research,1
JOURNAL OF MODERN HISTORY,1
JOURNAL OF MONETARY ECONOMICS,1
JOURNAL OF MULTILINGUAL AND MULTICULTURAL DEVELOPMENT,1
JOURNAL OF MUSIC THEORY,1
JOURNAL OF NANOBIOTECHNOLOGY,1
Journal of NeuroEngineering and Rehabilitation,1
Journal of Neuroinflammation,1
JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY,1
Journal of New Approaches in Educational Research,1
Journal of Nietzsche Studies,1
JOURNAL OF NUCLEAR MEDICINE,1
Journal of Occupational Health Psychology,1
Journal of Ocean Engineering and Science,1
JOURNAL OF ORGANIZATIONAL BEHAVIOR,1
Journal of Orthopaedic Translation,1
Journal of Paleolithic Archaeology,1
JOURNAL OF PEACE RESEARCH,1
JOURNAL OF PEASANT STUDIES,1
JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,1
JOURNAL OF PEST SCIENCE,1
Journal of Pharmaceutical Analysis,1
JOURNAL OF PHILOSOPHY,1
JOURNAL OF PHONETICS,1
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,1
JOURNAL OF PHYSICAL AND CHEMICAL REFERENCE DATA,1
Journal of Physiotherapy,1
JOURNAL OF PINEAL RESEARCH,1
Journal of Plant Ecology,1
JOURNAL OF POLITICAL ECONOMY,1
JOURNAL OF POLITICAL PHILOSOPHY,1
JOURNAL OF POLITICS,1
JOURNAL OF PRAGMATICS,1
JOURNAL OF PRODUCT INNOVATION MANAGEMENT,1
Journal of Psychopathology and Clinical Science,1
JOURNAL OF PUBLIC ADMINISTRATION RESEARCH AND THEORY,1
JOURNAL OF PUBLIC ECONOMICS,1
Journal of Public Relations Research,1
JOURNAL OF RARE EARTHS,1
Journal of Religion in Japan,1
Journal of Remote Sensing,1
JOURNAL OF RESEARCH IN CRIME AND DELINQUENCY,1
JOURNAL OF RESEARCH IN SCIENCE TEACHING,1
Journal of Responsible Innovation,1
Journal of Retailing and Consumer Services,1
Journal of Rock Mechanics and Geotechnical Engineering,1
JOURNAL OF ROMAN STUDIES,1
Journal of Rural Studies,1
JOURNAL OF SCHOOL PSYCHOLOGY,1
JOURNAL OF SECOND LANGUAGE WRITING,1
Journal of Semantics,1
JOURNAL OF SOCIAL ARCHAEOLOGY,1
JOURNAL OF SOCIAL ISSUES,1
Journal of Sport and Health Science,1
JOURNAL OF STRATEGIC INFORMATION SYSTEMS,1
Journal of Stroke,1
JOURNAL OF TEACHER EDUCATION,1
JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,1
JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY,1
Journal of the American Chemical Society,1
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,1
Journal of the American Heart Association,1
JOURNAL OF THE AMERICAN MATHEMATICAL SOCIETY,1
JOURNAL OF THE AMERICAN MUSICOLOGICAL SOCIETY,1
JOURNAL OF THE AMERICAN SOCIETY OF ECHOCARDIOGRAPHY,1
JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,1
JOURNAL OF THE EARLY REPUBLIC,1
Journal of the Economic and Social History of the Orient,1
JOURNAL OF THE EUROPEAN MATHEMATICAL SOCIETY,1
JOURNAL OF THE HISTORY OF PHILOSOPHY,1
JOURNAL OF THE PHILOSOPHY OF SPORT,1
JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY,1
Journal of Thoracic Oncology,1
JOURNAL OF THROMBOSIS AND HAEMOSTASIS,1
Journal of Transport Geography,1
Journal of Travel & Tourism Marketing,1
Journal of Travel Research,1
JOURNAL OF URBAN ECONOMICS,1
JOURNAL OF VOCATIONAL BEHAVIOR,1
JOURNAL OF WORLD BUSINESS,1
JOURNAL OF WORLD PREHISTORY,1
JOURNAL OF YOUTH AND ADOLESCENCE,1
JOURNALISM & MASS COMMUNICATION QUARTERLY,1
Journalism Studies,1
KIDNEY INTERNATIONAL,1
Knee Surgery & Related Research,1
KNOWLEDGE-BASED SYSTEMS,1
LANCET,1
Lancet Child & Adolescent Health,1
Lancet Diabetes & Endocrinology,1
Lancet Digital Health,1
Lancet Gastroenterology & Hepatology,1
Lancet Global Health,1
Lancet Haematology,1
Lancet Healthy Longevity,1
Lancet HIV,1
LANCET INFECTIOUS DISEASES,1
Lancet Microbe,1
LANCET NEUROLOGY,1
LANCET ONCOLOGY,1
Lancet Planetary Health,1
Lancet Psychiatry,1
Lancet Public Health,1
Lancet Regional Health-Europe,1
Lancet Regional Health-Western Pacific,1
Lancet Respiratory Medicine,1
Lancet Rheumatology,1
LAND USE POLICY,1
LANDSCAPE AND URBAN PLANNING,1
Language Culture and Curriculum,1
LANGUAGE IN SOCIETY,1
LANGUAGE LEARNING,1
Language Teaching Research,1
Language Variation and Change,1
Laser & Photonics Reviews,1
LATIN AMERICAN ANTIQUITY,1
LEADERSHIP QUARTERLY,1
LEARNING AND INDIVIDUAL DIFFERENCES,1
LEARNING AND INSTRUCTION,1
Learning Media and Technology,1
Legal Ethics,1
Legal Theory,1
LEUKEMIA,1
Light-Science & Applications,1
Limnology and Oceanography Letters,1
LINGUISTIC INQUIRY,1
Linguistic Typology,1
LINGUISTICS AND PHILOSOPHY,1
Liver Cancer,1
Living Reviews in Relativity,1
Living Reviews in Solar Physics,1
LWT-FOOD SCIENCE AND TECHNOLOGY,1
MACROMOLECULES,1
Marine Life Science & Technology,1
Materials Futures,1
Materials Research Letters,1
MATERIALS SCIENCE & ENGINEERING R-REPORTS,1
Materials Today,1
Materials Today Bio,1
MATHEMATICAL MODELS & METHODS IN APPLIED SCIENCES,1
MATHEMATICS OF COMPUTATION,1
MATRIX BIOLOGY,1
Matter,1
Matter and Radiation at Extremes,1
MEAT SCIENCE,1
MECHANICAL SYSTEMS AND SIGNAL PROCESSING,1
MECHANISM AND MACHINE THEORY,1
Med,1
MedComm,1
MEDICAL EDUCATION,1
MEDICAL IMAGE ANALYSIS,1
MEDICINAL RESEARCH REVIEWS,1
METABOLIC ENGINEERING,1
METABOLISM-CLINICAL AND EXPERIMENTAL,1
Metacognition and Learning,1
Microbiome,1
Microsystems & Nanoengineering,1
Military Medical Research,1
MIND,1
MINERALIUM DEPOSITA,1
MINERVA,1
MMWR Recommendations and Reports,1
MMWR Surveillance Summaries,1
MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,1
Mobile Media & Communication,1
MODERN LANGUAGE JOURNAL,1
MODERN PATHOLOGY,1
Molecular Autism,1
MOLECULAR BIOLOGY AND EVOLUTION,1
Molecular Cancer,1
Molecular Cell,1
MOLECULAR ECOLOGY,1
Molecular Ecology Resources,1
Molecular Neurodegeneration,1
MOLECULAR PHYLOGENETICS AND EVOLUTION,1
Molecular Plant,1
MOLECULAR PLANT PATHOLOGY,1
MOLECULAR PSYCHIATRY,1
Molecular Systems Biology,1
MOLECULAR THERAPY,1
MONOGRAPHS OF THE SOCIETY FOR RESEARCH IN CHILD DEVELOPMENT,1
Morphology,1
MOVEMENT DISORDERS,1
Movement Ecology,1
Muqarnas-An Annual on the Visual Cultures of the Islamic World,1
Museum Management and Curatorship,1
Museums & Social Issues-A Journal of Reflective Discourse,1
MUSIC & LETTERS,1
MUSIC ANALYSIS,1
MUSIC THEORY SPECTRUM,1
MUSICAE SCIENTIAE,1
Musicology Australia,1
Mycosphere,1
Nano Materials Science,1
Nano Research,1
Nano Research Energy,1
Nano-Micro Letters,1
National Science Review,1
NATURAL PRODUCT REPORTS,1
NATURE,1
Nature Aging,1
Nature Astronomy,1
Nature Biomedical Engineering,1
NATURE BIOTECHNOLOGY,1
Nature Cancer,1
Nature Cardiovascular Research,1
Nature Catalysis,1
NATURE CELL BIOLOGY,1
Nature Chemical Biology,1
Nature Chemistry,1
Nature Climate Change,1
Nature Communications,1
Nature Computational Science,1
Nature Ecology & Evolution,1
Nature Electronics,1
Nature Energy,1
Nature Food,1
NATURE GENETICS,1
Nature Geoscience,1
Nature Human Behaviour,1
NATURE IMMUNOLOGY,1
Nature Machine Intelligence,1
NATURE MATERIALS,1
NATURE MEDICINE,1
Nature Metabolism,1
NATURE METHODS,1
Nature Microbiology,1
Nature Nanotechnology,1
NATURE NEUROSCIENCE,1
Nature Photonics,1
Nature Physics,1
Nature Plants,1
NATURE REVIEWS CANCER,1
Nature Reviews Cardiology,1
Nature Reviews Chemistry,1
Nature Reviews Clinical Oncology,1
Nature Reviews Disease Primers,1
NATURE REVIEWS DRUG DISCOVERY,1
Nature Reviews Earth & Environment,1
Nature Reviews Endocrinology,1
Nature Reviews Gastroenterology & Hepatology,1
NATURE REVIEWS GENETICS,1
NATURE REVIEWS IMMUNOLOGY,1
Nature Reviews Materials,1
Nature Reviews Methods Primers,1
NATURE REVIEWS MICROBIOLOGY,1
NATURE REVIEWS MOLECULAR CELL BIOLOGY,1
Nature Reviews Nephrology,1
Nature Reviews Neurology,1
NATURE REVIEWS NEUROSCIENCE,1
Nature Reviews Physics,1
Nature Reviews Psychology,1
Nature Reviews Rheumatology,1
Nature Reviews Urology,1
NATURE STRUCTURAL & MOLECULAR BIOLOGY,1
Nature Sustainability,1
Nature Synthesis,1
Nawpa Pacha,1
NBER Macroeconomics Annual,1
NEURO-ONCOLOGY,1
Neurobiology of Language,1
NEUROLOGY,1
Neurology-Neuroimmunology & Neuroinflammation,1
Neuron,1
NEUROPSYCHOLOGY REVIEW,1
NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,1
Neurospine,1
NEW ENGLAND JOURNAL OF MEDICINE,1
NEW MEDIA & SOCIETY,1
NEW PHYTOLOGIST,1
NEW POLITICAL ECONOMY,1
NOUS,1
npj Biofilms and Microbiomes,1
npj Climate and Atmospheric Science,1
npj Computational Materials,1
npj Digital Medicine,1
npj Flexible Electronics,1
npj Parkinsons Disease,1
npj Precision Oncology,1
npj Quantum Information,1
npj Quantum Materials,1
npj Regenerative Medicine,1
npj Science of Food,1
npj Urban Sustainability,1
NUCLEAR FUSION,1
Nuclear Science and Techniques,1
NUMERISCHE MATHEMATIK,1
NURSING ETHICS,1
Ocular Surface,1
Oeconomia Copernicana,1
ONCOGENE,1
One Earth,1
OPERA QUARTERLY,1
OPHTHALMOLOGY,1
Optica,1
Opto-Electronic Advances,1
ORGANIC LETTERS,1
ORGANIZATION STUDIES,1
ORGANIZATIONAL RESEARCH METHODS,1
Osteoarthritis and Cartilage,1
PAIN,1
Particle and Fibre Toxicology,1
PAST & PRESENT,1
PATTERN RECOGNITION,1
PERIODONTOLOGY 2000,1
PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,1
PERSONNEL PSYCHOLOGY,1
PERSOONIA,1
Perspectives on Medical Education,1
Perspectives on Politics,1
Perspectives on Psychological Science,1
PEST MANAGEMENT SCIENCE,1
Pesticide Biochemistry and Physiology,1
Petroleum Exploration and Development,1
Petroleum Science,1
PHARMACOLOGICAL REVIEWS,1
PHARMACOLOGY & THERAPEUTICS,1
Phenomenology and the Cognitive Sciences,1
Philosophers Imprint,1
Philosophia Mathematica,1
Philosophical Perspectives,1
PHILOSOPHICAL QUARTERLY,1
PHILOSOPHICAL REVIEW,1
PHILOSOPHICAL STUDIES,1
PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,1
PHILOSOPHY & PUBLIC AFFAIRS,1
PHILOSOPHY AND PHENOMENOLOGICAL RESEARCH,1
Philosophy Compass,1
Photoacoustics,1
Photonic Sensors,1
Photonics Research,1
PhotoniX,1
PHYSICAL REVIEW LETTERS,1
Physical Review X,1
Physics of Life Reviews,1
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,1
Physiological Reviews,1
PHYTOMEDICINE,1
Plainsong & Medieval Music,1
Planning Theory,1
PLANT BIOTECHNOLOGY JOURNAL,1
PLANT CELL,1
PLANT CELL AND ENVIRONMENT,1
Plant Communications,1
Plant Diversity,1
PLANT JOURNAL,1
Plant Phenomics,1
PLANT PHYSIOLOGY,1
PLOS BIOLOGY,1
PLOS MEDICINE,1
PLoS Pathogens,1
Policy and Internet,1
Policy Insights from the Behavioral and Brain Sciences,1
POLITICAL ANALYSIS,1
POLITICAL BEHAVIOR,1
POLITICAL COMMUNICATION,1
POLITICAL GEOGRAPHY,1
POLITICAL PSYCHOLOGY,1
POLITICS & SOCIETY,1
Politics and Religion,1
Politics Philosophy & Economics,1
POLYMER DEGRADATION AND STABILITY,1
POPULAR MUSIC AND SOCIETY,1
POPULATION AND DEVELOPMENT REVIEW,1
POSTHARVEST BIOLOGY AND TECHNOLOGY,1
Proceedings of the ACM on Programming Languages-PACMPL,1
PROCEEDINGS OF THE IEEE,1
PROCEEDINGS OF THE LONDON MATHEMATICAL SOCIETY,1
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,1
PROGRESS IN AEROSPACE SCIENCES,1
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,1
PROGRESS IN HUMAN GEOGRAPHY,1
PROGRESS IN LIPID RESEARCH,1
PROGRESS IN MATERIALS SCIENCE,1
PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,1
PROGRESS IN PLANNING,1
PROGRESS IN POLYMER SCIENCE,1
PROGRESS IN RETINAL AND EYE RESEARCH,1
PROGRESS IN SURFACE SCIENCE,1
Projections-The Journal for Movies and Mind,1
Protection and Control of Modern Power Systems,1
Protein & Cell,1
PRX Quantum,1
PSYCHOLOGICAL BULLETIN,1
PSYCHOLOGICAL METHODS,1
PSYCHOLOGICAL REVIEW,1
PSYCHOLOGICAL SCIENCE,1
Psychological Science in the Public Interest,1
PSYCHOTHERAPY AND PSYCHOSOMATICS,1
PUBLIC ADMINISTRATION REVIEW,1
Publications Mathematiques de l IHES,1
Qualitative Psychology,1
Qualitative Research,1
QUARTERLY JOURNAL OF ECONOMICS,1
QUARTERLY JOURNAL OF SPEECH,1
RADIOGRAPHICS,1
RADIOLOGY,1
Radiology-Artificial Intelligence,1
RARE METALS,1
READING RESEARCH QUARTERLY,1
ReCALL,1
Redox Biology,1
Regulation & Governance,1
RELC Journal,1
RELIABILITY ENGINEERING & SYSTEM SAFETY,1
Religion State & Society,1
REMOTE SENSING OF ENVIRONMENT,1
RENAISSANCE QUARTERLY,1
RENEWABLE & SUSTAINABLE ENERGY REVIEWS,1
Renewable Energy,1
Research,1
Research in Social Stratification and Mobility,1
RESEARCH ON LANGUAGE AND SOCIAL INTERACTION,1
RESEARCH POLICY,1
Research Studies in Music Education,1
RESOURCES CONSERVATION AND RECYCLING,1
Resources Environment and Sustainability,1
RESUSCITATION,1
Review of Communication Research,1
REVIEW OF ECONOMIC STUDIES,1
REVIEW OF ECONOMICS AND STATISTICS,1
REVIEW OF EDUCATIONAL RESEARCH,1
REVIEW OF FINANCIAL STUDIES,1
Review of International Organizations,1
REVIEW OF INTERNATIONAL STUDIES,1
Reviews in Aquaculture,1
REVIEWS IN FISH BIOLOGY AND FISHERIES,1
Reviews in Fisheries Science & Aquaculture,1
REVIEWS OF GEOPHYSICS,1
REVIEWS OF MODERN PHYSICS,1
Revista de Psicodidactica,1
Rice,1
ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,1
Rock Art Research,1
ROCK MECHANICS AND ROCK ENGINEERING,1
Russian Journal of Linguistics,1
Satellite Navigation,1
SCHIZOPHRENIA BULLETIN,1
SCIENCE,1
Science Advances,1
Science Bulletin,1
Science China-Chemistry,1
Science China-Earth Sciences,1
Science China-Information Sciences,1
Science China-Life Sciences,1
Science China-Materials,1
Science China-Mathematics,1
Science China-Physics Mechanics & Astronomy,1
Science China-Technological Sciences,1
SCIENCE COMMUNICATION,1
Science Immunology,1
Science Robotics,1
Science Signaling,1
Science Translational Medicine,1
Secularism & Nonreligion,1
SECURITY DIALOGUE,1
SECURITY STUDIES,1
Semantics & Pragmatics,1
Seminars in Immunopathology,1
SENSORS AND ACTUATORS B-CHEMICAL,1
SIAM JOURNAL ON MATHEMATICAL ANALYSIS,1
SIAM JOURNAL ON NUMERICAL ANALYSIS,1
SIAM REVIEW,1
Signal Transduction and Targeted Therapy,1
Slavery & Abolition,1
SLEEP MEDICINE REVIEWS,1
SMALL BUSINESS ECONOMICS,1
SmartMat,1
SOCIAL FORCES,1
SOCIAL HISTORY,1
Social Issues and Policy Review,1
Social Media + Society,1
Social Movement Studies,1
Society and Mental Health,1
SOCIO-ECONOMIC PLANNING SCIENCES,1
Sociological Science,1
SOCIOLOGICAL THEORY,1
SOCIOLOGY OF EDUCATION,1
SOCIOLOGY OF RELIGION,1
SOIL & TILLAGE RESEARCH,1
SOIL BIOLOGY & BIOCHEMISTRY,1
South European Society and Politics,1
Space: Science & Technology,1
SPECULUM-A JOURNAL OF MEDIEVAL STUDIES,1
Spine Journal,1
SPORTS MEDICINE,1
STANFORD LAW REVIEW,1
STATISTICAL SCIENCE,1
Stem Cell Reports,1
STRATEGIC MANAGEMENT JOURNAL,1
STROKE,1
Studies in Australasian Cinema,1
Studies in Documentary Film,1
STUDIES IN MYCOLOGY,1
Studies in Science Education,1
STUDIES IN SECOND LANGUAGE ACQUISITION,1
Studies in Second Language Learning and Teaching,1
Superconductivity,1
SUPERCONDUCTOR SCIENCE & TECHNOLOGY,1
SURFACE SCIENCE REPORTS,1
Sustainable Cities and Society,1
Sustainable Production and Consumption,1
Syntax-A Journal of Theoretical Experimental and Interdisciplinary Research,1
Synthetic and Systems Biotechnology,1
SYSTEM,1
Systematic Biology,1
SYSTEMATIC ENTOMOLOGY,1
Target-International Journal of Translation Studies,1
TEACHING AND TEACHER EDUCATION,1
TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,1
TECHNOVATION,1
Tel Aviv-Journal of the Institute of Archaeology of Tel Aviv University,1
TESOL QUARTERLY,1
TEXTILE HISTORY,1
THEATRE JOURNAL,1
THEORETICAL AND APPLIED GENETICS,1
Theranostics,1
THORAX,1
THYROID,1
Tourism Management,1
TRAC-TRENDS IN ANALYTICAL CHEMISTRY,1
Transactions of the American Philological Association,1
TRANSACTIONS OF THE INSTITUTE OF BRITISH GEOGRAPHERS,1
Translational Neurodegeneration,1
Transnational Screens,1
Transport Policy,1
TRANSPORT REVIEWS,1
TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,1
TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,1
TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES,1
TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,1
TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,1
Trauma Violence & Abuse,1
Travel Behaviour and Society,1
TRENDS IN BIOCHEMICAL SCIENCES,1
TRENDS IN BIOTECHNOLOGY,1
Trends in Cancer,1
TRENDS IN CELL BIOLOGY,1
Trends in Chemistry,1
TRENDS IN COGNITIVE SCIENCES,1
TRENDS IN ECOLOGY & EVOLUTION,1
TRENDS IN ENDOCRINOLOGY AND METABOLISM,1
TRENDS IN FOOD SCIENCE & TECHNOLOGY,1
TRENDS IN GENETICS,1
TRENDS IN MICROBIOLOGY,1
TRENDS IN MOLECULAR MEDICINE,1
TRENDS IN NEUROSCIENCES,1
TRENDS IN PHARMACOLOGICAL SCIENCES,1
TRENDS IN PLANT SCIENCE,1
Tribology International,1
TUNNELLING AND UNDERGROUND SPACE TECHNOLOGY,1
Twentieth Century British History,1
Twentieth-Century Music,1
ULTRASONICS SONOCHEMISTRY,1
ULTRASOUND IN OBSTETRICS & GYNECOLOGY,1
Underground Space,1
URBAN GEOGRAPHY,1
URBAN STUDIES,1
VIRGINIA LAW REVIEW,1
Virtual and Physical Prototyping,1
Virulence,1
Water Biology and Security,1
WATER RESEARCH,1
Weather and Climate Extremes,1
WEST EUROPEAN POLITICS,1
Wiley Interdisciplinary Reviews-Climate Change,1
Wiley Interdisciplinary Reviews-Water,1
WILLIAM AND MARY QUARTERLY,1
WORK AND OCCUPATIONS,1
WORK AND STRESS,1
WORLD ARCHAEOLOGY,1
WORLD BANK RESEARCH OBSERVER,1
WORLD DEVELOPMENT,1
World Journal of Emergency Surgery,1
WORLD POLITICS,1
World Psychiatry,1
WRITTEN COMMUNICATION,1
YALE LAW JOURNAL,1
YEARBOOK FOR TRADITIONAL MUSIC,1
ZOOLOGICAL RESEARCH,1
aBIOTECH,2
ACADEMIC RADIOLOGY,2
Academy of Management Discoveries,2
Academy of Management Learning & Education,2
Academy of Management Perspectives,2
Accountability in Research-Ethics Integrity and Policy,2
Accounting Auditing & Accountability Journal,2
ACCOUNTING ORGANIZATIONS AND SOCIETY,2
ACCOUNTING REVIEW,2
ACM Transactions on Accessible Computing,2
ACM TRANSACTIONS ON DATABASE SYSTEMS,2
ACM Transactions on Human-Robot Interaction,2
ACM TRANSACTIONS ON INFORMATION SYSTEMS,2
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,2
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,2
ACS Applied Materials & Interfaces,2
ACS Applied Polymer Materials,2
ACS Chemical Biology,2
ACS Environmental Au,2
ACS Infectious Diseases,2
ACS Materials Letters,2
ACS Measurement Science Au,2
ACS Polymers Au,2
ACS Synthetic Biology,2
ACTA ASTRONAUTICA,2
ACTA BIOCHIMICA ET BIOPHYSICA SINICA,2
ACTA CHIMICA SINICA,2
Acta Histriae,2
ACTA MECHANICA SINICA,2
ACTA METALLURGICA SINICA,2
Acta Metallurgica Sinica-English Letters,2
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,2
ACTA OCEANOLOGICA SINICA,2
ACTA OPTICA SINICA,2
Acta Orthopaedica,2
ACTA PETROLOGICA SINICA,2
ACTA PHARMACOLOGICA SINICA,2
ACTA PHYSICO-CHIMICA SINICA,2
ACTA POLYMERICA SINICA,2
ACTA PSYCHIATRICA SCANDINAVICA,2
Acta Psychologica Sinica,2
ACTA VETERINARIA SCANDINAVICA,2
ADDICTION,2
Addiction Science & Clinical Practice,2
ADDICTIVE BEHAVIORS,2
Adolescent Research Review,2
Advanced Healthcare Materials,2
Advanced Optical Materials,2
Advanced Quantum Technologies,2
ADVANCED SYNTHESIS & CATALYSIS,2
Advances in Aerodynamics,2
ADVANCES IN ANATOMIC PATHOLOGY,2
Advances in Continuous and Discrete Models,2
Advances in Differential Equations,2
ADVANCES IN HEALTH SCIENCES EDUCATION,2
Advances in Life Course Research,2
Advances in Nutrition,2
Advances in Physics-X,2
Advances in Sample Preparation,2
ADVANCES IN WATER RESOURCES,2
AERA Open,2
AFRICA,2
Africa Spectrum,2
AFRICAN AFFAIRS,2
African Archaeological Review,2
AFRICAN ECONOMIC HISTORY,2
African Security,2
AGE AND AGEING,2
AGGRESSION AND VIOLENT BEHAVIOR,2
